"","X3D","X6PGD","AAA_21","AA_kinase","AA_permease","ABG_transport","ACR_tran","AI.2E_transport","ATPase_gene1","AbiU","Acc5b_avian_CoV","Acetyltransf_4","Acetyltransf_8","Acyl.ACP_TE","Aldedh","Aldo_ket_red","Aldolase","Aldose_epim","Alkyl_sulf_dimr","Amidohydro_3","Aminotran_1_2","Aminotran_3","Arabinose_Isome","ArsR","Asp_aminotransf","Autoind_synth","Autotransporter","BNR_4","BPD_transp_1","BioY","Bmp","Bro.N","BrxHI_00004","BrxP_00001","CARF3..CARF_MK_CARF_00012921","CARF3..CARF_MK_CARF_00100186","CARF3..CARF_MK_CARF_01001287","CARF3..CARF_MK_CARF_01001354","CARF3..CARF_TM_CARF3..CARF_TM","CARF_m8..CARF_LolE_TM_CARF_m8..CARF_LolE_TM","COG0640","COG1353","COG2378","Cas1fv_WP_091991229.1","CheB_methylest","CheR","CheW","ChuX_HutX","ClpS","Condensation","Csn2_WP_154580455.1","Cupin_2","DHOR","DJ.1_PfpI","DSBA","DUF1240","DUF1270","DUF1327","DUF1493","DUF1494","DUF1836","DUF1861","DUF1871","DUF202","DUF2092","DUF2231","DUF2271","DUF229","DUF2774","DUF2855","DUF2867","DUF3144","DUF3192","DUF3419","DUF3450","DUF3466","DUF4123","DUF4198","DUF4405","DUF4442","DUF4762","DUF481","DUF4812","DUF4916","DUF5107","DUF535","DUF5402","DUF5657","DUF6160","DUF6162","DUF6344","DUF6750","DUF746","DcaP","DcrB","DmsC","DnaJ_C","DndA_00001","DpdE_00001","DpdF_00011","DprA","DrmMII_00009","DruC1_00001","DruG2_00002","DsbB","Dus","E2_00019","EAL","Effector_00040","EptA_B_N","ExbD","FAA_hydrolase","FAD_binding_6","FAD_binding_9","FA_desaturase","FGGY_N","FMN_red","FYDLN_acid","Fae","Fe.S_biosyn","FecCD","Fer2","Fer2_BFD","Fip1","Flg_bbr_C","FlhC","FlhD","Folate_carrier","GATase_2","GIDA","GSDH","GST_C_4","GajA_00011","GajA_00034","GajB_00042","Gin","Glu_cys_ligase","Glyco_hydro_18","Glyco_hydro_88","HAD_2","HEM4","HHH_9","HSP70","HTH_18","HTH_52","HTS","HigB.like_toxin","HisG","His_biosynth","Histidinol_dh","HlyD_2","IGPD","IetA_00002","Iron_traffic","Isochorismatase","JetC1_00013","JetC2_00003","Lactamase_B","LapA_dom","Leu_Phe_trans","Lip_A_acyltrans","Lipoprotein_8","LmuB2_00002","Lyase_1","LysR_substrate","Lys_export","MCPsignal","MIP","MS_channel","MTase_III_00005","MafB","MbtH","Mntp","Molybdopterin","MotA_N","Mpo1.like","MqsR_toxin","MtrB_PioB","Mur_ligase_M","NAD_kinase_C","NFACT.C","NatA_aux_su","Ndr","NifU_N","NmrA","OEP","OMP_b.brl_3","OTCace","OprD","Orn_DAP_Arg_deC","PAAR_motif","PGM_PMM_I","PIN_2","PPK2","PRA.CH","PTS_IIA","Pan_kinase","ParA","Pas_Saposin","PbeC_00032","Pec_lyase","PepSY_TM","Peptidase_A24","Peptidase_M20","Peptidase_M44","Peripla_BP_1","PfkB","PglX_00001","Phage_GPD","Phage_T4_gp19","Phage_integrase","Phageshock_PspG","Phenol_MetA_deg","PhoQ_Sensor","PhzC.PhzF","PilX_N","Pirin","Polyketide_cyc2","Porin_OmpG","Porphobil_deam","Prismane","PseudoU_synth_2","Pyc_2TM","Pyr_redox_2","Pyrid_oxidase_2","RBD.FIP","RDD","RES","REase_III_00002","REase_II_00040","RR_TM4.6","Rad50_zn_hook","RecX","RelA_SpoT","RepB.RCR_reg","Ribosomal_S15","RmlD_sub_bind","RtcR..CARF_AAA_HTH_MK_CARF_00010755","RtcR_PspF1..CARF_AAA_HTH_RtcR_PspF1..CARF_AAA_HTH","SAVED7..SAVED_TM_SAVED7..SAVED_TM","SBP_bac_1","SBP_bac_3","SBP_bac_5","SDF","SDH_sah","SHMT","SLC35F","SSB","SSF","SUFBD","SduA_00029","Semialdhyde_dhC","Sigma70_ECF","SmpB","SoPB_HTH","Specificity_I_00061","SpoU_methylase","SspA_00001","SspH_00004","Sugar_tr","Sulfate_transp","T2SSG","T2SSI","T2SSL","T2SSM","T6SS_HCP","TMP.TENI","TPP_enzyme_N","TRIP13_00002","TcfC","TetR_C_3","Thioesterase","Thioredoxin","Thioredoxin_5","TonB_C","Topoisom_I_N","Toxin_31","Transgly","Trehalase","Trypsin","UDPGP","UPF0047","UPF0102","UPF0176_N","UPF0257","Ub.RnfH","Virulence_RhuM","Xre_MbcA_ParS_C","Y1_Tnp","YgjP.like","YibE_F","Yip1","YitT_membrane","YjdM","YmdB","ZnuA","ZorA1_00006","ZorA1_00007","ZorA2_00001","ZorB3_00001","beta2","cas1_YPEST","cas3_yersinia","cas_Csd2","cas_Csy1","cas_Csy2","cas_Csy3","cas_Csy4","cas_HTH","cd09674","cd09735","cd09736","cd09739","cluster10","dCTPase","divDNAB","drt.cluster103","drt.cluster114","drt.cluster433","drt.cluster972","drt.cluster999","eIF.1a","icity0088","icity0107","p450","pfam09611","pfam09614","pfam09615","pfam09618","retron_type_I_B1_atpase_toprim_cluster22_2","retron_type_V_csd_cluster85_1","shah_acc_0033","shah_acc_0186","subtilase","tRNA.synt_1b","tRNA.synt_1g","tRNA.synt_2b"
"22",0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0.933333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.1,0,0,0,0,0,0,0
"24",0,0.008213552,0.168377823,0.026694045,0,0,0.014373717,0,0,0,0,0.055441478,0,0.012320329,0.020533881,0,0,0,0,0,0.026694045,0.04312115,0,0.012320329,0.024640657,0,0,0,0.112936345,0,0,0,0.014373717,0.024640657,0.008213552,0,0.01026694,0.006160164,0,0.039014374,0,0.008213552,0.055441478,0,0,0,0.030800821,0,0,0.024640657,0,0,0,0.034907598,0,0,0,0,0,0.008213552,0.008213552,0,0,0.012320329,0,0,0,0,0,0.014373717,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008213552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016427105,0.008213552,0,0.032854209,0,0,0,0,0.071868583,0,0,0,0,0.016427105,0,0,0.014373717,0,0,0,0,0.018480493,0.008213552,0,0,0,0,0,0,0,0,0.008213552,0.022587269,0,0,0,0,0,0,0,0.102669405,0,0,0,0.018480493,0,0,0.012320329,0,0,0,0.014373717,0,0.018480493,0,0,0,0.016427105,0,0,0,0,0.018480493,0,0,0.098562628,0,0,0,0.01026694,0,0,0,0,0.026694045,0,0,0,0.018480493,0,0,0,0,0,0,0,0.051334702,0.067761807,0,0,0,0,0.012320329,0.014373717,0,0,0,0,0.016427105,0,0,0,0,0,0.01026694,0,0,0.026694045,0,0.008213552,0.008213552,0.036960986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01026694,0.01026694,0,0,0,0.059548255,0,0,0,0.008213552,0.01026694,0.01026694,0.018480493,0,0.069815195,0.012320329,0,0,0,0,0.01026694,0,0,0.012320329,0.032854209,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012320329,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008213552,0,0,0,0,0,0,0,0,0,0.008213552,0,0,0.751540041,0.90349076,0,0.022587269,0,0,0,0.022587269,0,0.121149897,0,0.655030801,0.020533881,0,0,0,0,0,0.061601643,0,0,0,0,0.012320329,0.866529774,1.002053388,1.01026694,0.32238193,0.026694045,0,0.006160164,0.045174538,0,0,0.006160164,0
"25",0,0.009118541,0.170212766,0.012158055,0,0,0.060790274,0,0,0,0,0.042553191,0,0.285714286,0,0,0,0,0,0,0.015197568,0.036474164,0,0.009118541,0,0,0,0,0.112462006,0,0.012158055,0.015197568,0,0,0,0.009118541,0.03343465,0.310030395,0,0,0.012158055,0,0.012158055,0.151975684,0.106382979,0.015197568,0.03343465,0.303951368,0,0,0,0,0,0.012158055,0.027355623,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012158055,0.012158055,0,0,0,0.030395137,0,0,0,0.018237082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024316109,0,0.030395137,0,0.063829787,0,0,0.009118541,0,0,0,0,0.021276596,0,0.042553191,0,0,0,0,0.319148936,0,0.316109422,0,0,0.492401216,0.015197568,0.012158055,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325227964,0.021276596,0,0.045592705,0,0,0.042553191,0,0.021276596,0.021276596,0,0.012158055,0.021276596,0,0.012158055,0,0,0,0,0,0,0,0.097264438,0,0,0,0.030395137,0,0,0,0,0,0.015197568,0,0,0.03343465,0,0.103343465,0,0,0.018237082,0.319148936,0,0,0.331306991,0,0,0.009118541,0.024316109,0.012158055,0.015197568,0.018237082,0,0,0,0.316109422,0,0,0,0.024316109,0,0,0,0.021276596,0.03343465,0,0,0,0.045592705,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300911854,0,0,0,0,0,0,0,0,0,0,0.32218845,0,0,0,0,0,0.027355623,0.030395137,0,0,0.075987842,0.024316109,0,0,0,0.47112462,0,0,0,0,0,0.346504559,0.337386018,0,0.042553191,0.015197568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334346505,0,0,0,0,0,0,0.32218845,0,0,0,0,0.015197568,0,0,0,0,0,0,0.039513678,0.303951368,0,0.015197568,0.300911854,0.699088146,0.960486322,0,0.626139818,0.607902736,0.325227964,0.419452888,0,0.075987842,0,0,0.23100304,0,0,0.048632219,0,0.015197568,0,0.039513678,0,0,0,0,0,0.386018237,0.404255319,0.683890578,0.267477204,0.103343465,0.051671733,0,0.030395137,0,0,0.319148936,0.085106383
"27",0,0,0.169491525,0,0,0,0.050847458,0.016949153,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0.06779661,0.06779661,0,0.016949153,0.06779661,0.016949153,0,0.338983051,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0.033898305,0.796610169,0,0,0,0,0,0,0.050847458,0,0,0,0,0,0,0,0,0.050847458,0,0.016949153,0.338983051,0,0,0,0,0,0,0,0,0,0,0,0,0.355932203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0.101694915,0,0,0.016949153,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033898305,0,0,0,0,0,0,0,0,0,0,0,0.033898305,0,0.016949153,0,0,0,0,0,0,0,0.016949153,0,0,0,0.050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0.033898305,0,0,0,0.016949153,0,0.06779661,0,0,0,0,0.050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0.322033898,0,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0.016949153,0,0.016949153,0,0,0,0.016949153,0,0,0,0,0,0,0,0.389830508,0.016949153,0,0,0,0,0,0.016949153,0,0.016949153,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033898305,0,0,0,0,0,0.033898305,0,0,0,0,0,0,0,0,0,0,0,0.033898305,0,0,0,0.016949153,1.06779661,1.050847458,1,1,0,0.033898305,0,0.118644068,0.322033898,0,0,0
"28",0,0,0.686098655,0,0,0,0.00896861,0,0,0,0,0,0,0,0.053811659,0.134529148,0,0,0,0.013452915,0.00896861,0,0,0.035874439,0.022421525,0,0,0,0.197309417,0,0.035874439,0,0.00896861,0.013452915,0,0.00896861,0.00896861,0,0,0,0.013452915,0,0.188340807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022421525,0,0,0,0,0,0,0,0,0.013452915,0,0,0,0,0.035874439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896861,0.013452915,0,0,0,0,0.103139013,0,0,0.00896861,0,0,0,0,0,0,0,0,0.013452915,0,0,0.013452915,0.01793722,0,0.01793722,0.013452915,0,0.00896861,0,0,0,0,0,0.00896861,0,0,0.00896861,0,0,0.282511211,0,0,0,0.01793722,0,0,0,0.00896861,0,0,0,0,0.00896861,0.013452915,0,0,0,0.031390135,0,0,0.00896861,0.013452915,0,0,0,0,0,0.00896861,0,0,0,0,0,0,0.00896861,0,0,0,0.080717489,0,0,0,0,0,0,0.00896861,0,0,0.022421525,0,0,0,0,0,0,0,0.00896861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053811659,0.01793722,0.00896861,0.035874439,0,0.00896861,0.01793722,0,0.00896861,0,0.02690583,0,0,0,0,0,0,0,0,0.049327354,0,0,0,0,0.01793722,0,0.071748879,0.02690583,0.00896861,0,0,0,0,0,0,0,0,0,0,0,0,0.013452915,0.01793722,0,0,0,0,0,0,0,0,0,0,0,0.031390135,0.295964126,0,0,0,0,0,0.878923767,1.013452915,0,0,0,0,0,0.013452915,0,0,0,0.502242152,0,0.00896861,0,0,0,0,0.013452915,0,0,0,0,0,1.013452915,1.013452915,1,0.484304933,0.080717489,0,0,0.116591928,0,0,0,0
"30",0,0,0.014678899,0.005504587,0.018348624,0,0.011009174,0.56146789,0,0,0,0.00733945,0,0,0.502752294,0.005504587,0,0,0,0,0,1.117431193,0,0,0,0,0,0,0.016513761,0,0,0,0,0.016513761,0.255045872,0.005504587,0.018348624,0,0,0,0,0,0,0.933944954,0,0,0,0,0,0,0,0,0,0.009174312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533944954,0,0,0.622018349,0,0,0,0,0,0,0,0.574311927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.473394495,0.618348624,0,0,0,0,0,0,0,0.510091743,0,0,0,0,0,0.093577982,0.565137615,0.585321101,0,0,0,0,0,0,0,0,0,0,0,0,0.016513761,0,0,0,0.005504587,0,0,0,0,0,0,0,0,0,0,0,0.009174312,0.550458716,0.086238532,0,0,0,0,0.005504587,0,0.00733945,0,0,0,0.005504587,0,0.022018349,0,0,0,0,0,0.442201835,0,0,0,0,0,0,0,0,0,0,0.655045872,0,0.014678899,0.005504587,0.00733945,0,0,0,0,0,0.011009174,0.025688073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598165138,0,0,0.488073394,0,0,0.022018349,0,0,0,0.574311927,0,0.121100917,0,0,0,0,0.669724771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00733945,0,0,0,0,0.532110092,0,0.00733945,0.027522936,0,0,0,0.029357798,0,0.005504587,0,0,0,0,0,0,0.016513761,0,0,0,0,0,0,0.623853211,0.247706422,0.014678899,0,0.310091743,0,0,0,0,0.52293578,0,0.00733945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005504587,0,0,1.020183486,0,0,0,0,0,0,0,0,0,0,0,0.011009174,0,0,0,0,0.027522936,0,0,0,0,0,1.020183486,1.011009174,1.003669725,1.009174312,0.018348624,0,0.00733945,0.016513761,0,0,0,0
"31",0,0,1.452941176,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882,0,0,0,0,0,0,0,0,0,0.041176471,0,0,0,0,0.552941176,0.070588235,0,0,0,0,0.747058824,0.041176471,0.011764706,0.011764706,0,0,0,0,0,0.758823529,0,0,0,0,0.041176471,0,0,0,0,0.008823529,0.820588235,0.020588235,0,0,0,0.685294118,0,0,0,0.005882353,0,0.529411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738235294,0,0,0,0,0,0,0,0,0,0.573529412,0,0,0,0,0,0.002941176,0,0,0,0,0,0.002941176,0,0,0,0,0.688235294,0,0,0,0,0,0,0,0,0.002941176,0,0,0,0,0,0.035294118,0,0.75,0,0,0,0.75,0.020588235,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.297058824,0,0.638235294,0,0,0.670588235,0.45,0,0,0.811764706,0,0,0,0,0.085294118,0.676470588,0,0.735294118,0.008823529,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0.129411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002941176,0,0,0.429411765,0.017647059,0,0.020588235,0.011764706,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694117647,0,0,0.038235294,0,0,0,0.905882353,0,0,0,0,0,0,0,0,0.391176471,0,0.335294118,0,0,0.020588235,0.008823529,0,0,0.588235294,0,0,0,0,0.005882353,0,0,0,0,0,0,0,0.729411765,0,0,0.426470588,0.426470588,0.379411765,0.370588235,0.229411765,0,0.652941176,0.5,0,0,0,0.291176471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.858823529,0,0,0,0,0,0,0.023529412,0,0,0,0,0,0,0.952941176,1.032352941,0,0,1,0,0,0.697058824,0,1.011764706,0.008823529,0.982352941,0.382352941,0,0,0.420588235,0,0,0,0,0.858823529,0.423529412,0,0,0,0,1,0,0.176470588,0.755882353,0,0.002941176,0,0,0,0.002941176
"32",0,0,0.024193548,0,0.008064516,0,0.048387097,0,0,0,0,0,0,0.370967742,0.056451613,0,0,0,0,0,0.032258065,0,0,0,0.153225806,0,0,0,0.322580645,0,0,0,0,0.032258065,0,0,0,0,0,0,0.016129032,0,0.064516129,0.89516129,0,0,0,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0.016129032,0,0,0,0.024193548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.306451613,0,0,0,0,0,0,0,0.024193548,0,0,0,0,0,0,0.306451613,0,0,0,0,0.008064516,0,0,0,0,0,0,0.064516129,0,0,0,0,0.306451613,0,0,0,0.306451613,0,0.274193548,0,0.008064516,0,0.072580645,0,0,0,0.016129032,0,0,0.387096774,0.032258065,0,0,0,0,0,0,0,0,0.306451613,0.024193548,0,0,0,0,0,0,0,0,0.024193548,0,0,0,0,0.322580645,0,0,0,0,0,0,0.056451613,0.024193548,0,0,0.274193548,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0.024193548,0,0,0,0,0,0,0.153225806,0,0,0,0.008064516,0,0,0,0,0.306451613,0,0,0.008064516,0.024193548,0,0,0,0,0,0,0,0,0.024193548,0,0,0,0,0,0,0,0,0,0.016129032,0,0.024193548,0.064516129,0.008064516,0,0.008064516,0,0.048387097,0,0,0,0,0,0.306451613,0.016129032,0,0,0,0,0,0,0,0,0,0.016129032,0.016129032,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10483871,0,0,0,0.008064516,0,0,0,0,0,0,0,0,0.975806452,0,0.919354839,0.733870968,0,0.040322581,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266129032,1.008064516,0.935483871,0.314516129,0,0,0.330645161,0,0,0,0
"33",0,0,0.623678647,0,0,0,0,0,0,0,0,0.016913319,0,0,0.101479915,0.657505285,0,0,0,0.025369979,0.038054968,0.014799154,0,0,0,0.581395349,0,0,1.019027484,0,0,0,0.00422833,0,0,0,0.012684989,0,0,0,0.00845666,0,0.021141649,0,0,0,0.00422833,0,0,0.00422833,0.43551797,0,0,0.00422833,0,0.00845666,0,0,0,0,0,1.054968288,0,0,0,0,0,0,0.006342495,0.00422833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408033827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649048626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006342495,0,0,0,0,0.006342495,0,0,0,0.00845666,0,0.006342495,0.046511628,0,0,0,0,0,0,0,0,0,0.042283298,0,0,0,0.054968288,0.490486258,0,0,0.684989429,0,0,0,0.636363636,0,0.33615222,0,0,0,0.433403805,0,0,0,0,0,0.632135307,0,0,0,0.145877378,0,0,0,0,0,0.00845666,0.505285412,0,0,0,0,0,0.014799154,0,0,0.511627907,0,0,0,0,0.023255814,0,0,0.010570825,0,0.016913319,0,0,0.00422833,0.029598309,0,0,0,0.520084567,0,0,0.006342495,0,0,0.167019027,0,0,0,0,0,0,0,0,0,0,0.090909091,0.006342495,0,0,0,0,0.010570825,0.00422833,0,0,0,0.433403805,0,0.040169133,0,0,0,0,0,0.046511628,0.488372093,0,0,0,0.691331924,0,0,0,0,0,0,0,0.076109937,0,0,0,0,0,0,0,0,0,0.006342495,0,0,0,0,0,0.465116279,0.00422833,0,0,0,0.012684989,0,0,0,0,0,0,0,0,0,0,0.031712474,0,0.968287526,1.101479915,0,0.790697674,0.99154334,0.708245243,0,0.00422833,0.665961945,0.213530655,0,0.317124736,0,0,0,0,0.025369979,0,0.602536998,0.012684989,0,0,0,0,0.019027484,0.019027484,0.334038055,0.006342495,0.175475687,0,0.010570825,0.010570825,0,0,0,0
"34",0,0,0.22147651,0.033557047,0,0.369127517,0.087248322,0,0,0,0,0.020134228,0,0,0.080536913,0.013422819,0,0,0,0,0,0.020134228,0,0,0,0,0,0,0.053691275,0,0,0,0,0,0,0,0,0,0,0.020134228,0,0,0.912751678,0.993288591,0,0,0,0.006711409,0,0,0,0,0,0,0,0,0,0.322147651,0,1.134228188,0.033557047,0,0,0,0,0,0,0,0,0.013422819,0.006711409,0,0.33557047,0,0,0,0.469798658,0,0,0,0,0,0,0,0,0,0,0.308724832,0,0,0,0,0,0,0,0,0.375838926,0,0,0,0,0,0,0,0,0.053691275,0,0.020134228,0,0,0.033557047,0,0,0,0,0,0,0,0,0,0.026845638,0,0,0,0,0,0,0,0,0.033557047,0,0.020134228,0.369127517,0,0.033557047,0,0,0,0,0.033557047,0,0,0.375838926,0,0,0,0,0,0,0,0.087248322,0,0,0,0,0,0.013422819,0,0,0,0,0,0,0.033557047,0.053691275,0,0,0.020134228,0.013422819,0,0,0,0,0.053691275,0.013422819,0,0,0,0,0.375838926,0,0,0.026845638,0,0,0,0.161073826,0,0,0,0.718120805,0,0,0,0,0,0,0.033557047,0,0.362416107,0,0,0,0,0.080536913,0.040268456,0.006711409,0,0.476510067,0,0.590604027,0,0,0,0,0.375838926,0,0.375838926,0,0,0,0.013422819,0,0.006711409,0.006711409,0,0,0,0.020134228,0,0.006711409,0,0,0,0.046979866,0,0,0,0,0,0,0.194630872,0,0.020134228,0,0,0.046979866,0,0.020134228,0,0.013422819,0.013422819,0.013422819,0.375838926,0,0,0,0,0,0.006711409,0,0,0,0,0,0.469798658,0,0.013422819,0,0.530201342,0.020134228,0,0.013422819,0,0,0,0,0.087248322,0,0,0,0.013422819,0,0,0,0.375838926,0,0,0,0,0,0,0,0,0,0,0,0,0.040268456,0.026845638,0,0,1.040268456,0,0,0,0,0,0,0,0,0,0.926174497,0,0.308724832,0,0,0,0,0.053691275,0,0.013422819,0,0,0,1.013422819,0.993288591,0.993288591,0.080536913,0.093959732,0,0,0.080536913,0.067114094,0,0.020134228,0
"37",0,0.392857143,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357142857,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0.642857143,0,0,0.285714286,0,0,0,0,0.464285714,0.5,1,0,0,0,0,0,0,0.678571429,0.357142857,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.392857143,0,0,0,0,0,0.607142857,0,0,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0.785714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607142857,0,0.428571429,0.428571429,0.392857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0.392857143,0,0.428571429,0.785714286,0.428571429,0.357142857,0.392857143,0,0,0,0,0,0,0,0,0.357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0.642857143,0,0,0,0,0,0,0,0.392857143,0.178571429,0,0,0,0,0,0,0,0,0.392857143,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464285714,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0.607142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0,0,0.428571429,0,1,1,0,0.035714286,1,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0.214285714,0,1,0.25,0.357142857,0,0,0,0,0,0,0
