"","C19_Csa5gr11","CARF3..CARF_MK_CARF_00000116","CARF3..CARF_MK_CARF_01001287","COG1203","COG1343","COG2254","COG5551","Cas2b_WP_014295803.1","Cas3b_WP_008086256.1","Cas4b_WP_019267510.1","Cas6a_Cas6a","DevR_archaea","DpdF_00011","cas1","cas1_HMARI","cas4","cas_Csa4","cas_Cst2_DevR","cd09649","cd09750","cd09753","cd09759","cd10013","cls000179","cluster16","icity0032","mkCas0071","pfam06023","pfam09658","shah_acc_0186"
"2",0.625,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0.375,0,0.375,0,0,0.25,0,0,0,0,0.75,0,0,0,0.375,0,0
"4",0.03690036900369,0,0.409594095940959,0.771217712177122,0.116236162361624,0.636531365313653,0.236162361623616,0,0,0,0.308118081180812,0.837638376383764,0,0.256457564575646,0.0166051660516605,0.289667896678967,0.011070110701107,0,0.409594095940959,0.149446494464945,0.413284132841328,0,0.123616236162362,0.0166051660516605,0,0,0.0424354243542435,0.20479704797048,0,0.044280442804428
"8",0,0.333333333333333,0.575757575757576,0.757575757575758,0.0303030303030303,0.606060606060606,0,0.818181818181818,0.303030303030303,0.333333333333333,0,0.939393939393939,0.333333333333333,0,0.575757575757576,0.0303030303030303,0.333333333333333,0.333333333333333,0.181818181818182,0.606060606060606,0.575757575757576,0.606060606060606,0.303030303030303,0,0.575757575757576,0.363636363636364,0.333333333333333,0,0.393939393939394,0.393939393939394
