cluster_no,virsort_linear,virsort_circular,virsort_cell,virsort_dsDNAphage,virsort_ssDNAphage,virsort_RNAphage,virsort_lavidaviridae,virsort_ncldv,plasme_linear,plasme_circular
cluster_1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cluster_2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8647686832740213,0.13523131672597866
cluster_3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8591549295774648,0.14084507042253522
