,gold_environmental_diversity,ncbi_sample_diversity,ncbi_species_diversity
cluster_2,0.907207732,1,0.950030091
cluster_6,0.819369973,1,0.979569765
cluster_8,0.944884115,NA,0.918295834
cluster_9,0.913597693,NA,1
cluster_17,0.656677776,0.721928095,0.834202289
cluster_21,0.970950594,NA,1
cluster_24,1,NA,NA
cluster_26,1,NA,NA
cluster_27,1,NA,NA
cluster_36,0.918295834,NA,1
