,gold_environmental_diversity,ncbi_sample_diversity,ncbi_species_diversity
cluster_5,0.74261855,1,0.94639463
cluster_7,0.803062581,0.808298797,0.958079576
cluster_8,0.859097951,0.844541246,0.71277277
cluster_14,0.778096763,0.959147917,0.839665587
cluster_16,0.59907748,0.515273445,0.883697754
cluster_17,0.9230453,NA,0.980766399
